               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.023088,            0.055601,           0.0056033,             0.55269,             0.53271,             0.52749,             0.36674,            0.032395,            0.043031,            0.010733,             0.00538,             0.00538,             0.00538
                  72,             0.02296,            0.057057,           0.0056981,             0.56601,             0.50962,             0.50977,             0.35262,            0.032989,            0.042476,             0.01237,            0.005314,            0.005314,            0.005314
                  73,            0.022988,             0.05724,             0.00541,               0.722,             0.52217,             0.54436,             0.37171,            0.032569,            0.040642,            0.011107,            0.005248,            0.005248,            0.005248
                  74,            0.022914,            0.055808,            0.005551,             0.62052,             0.51378,             0.53389,             0.36744,            0.032742,            0.041908,            0.009489,            0.005182,            0.005182,            0.005182
                  75,            0.022282,            0.056367,           0.0052176,              0.6002,             0.50642,             0.54001,             0.37777,            0.031296,            0.041574,           0.0095654,            0.005116,            0.005116,            0.005116
                  76,            0.022553,            0.056377,           0.0053845,             0.66252,               0.492,             0.51426,             0.35578,            0.031744,            0.044072,             0.01099,             0.00505,             0.00505,             0.00505
                  77,            0.022437,            0.056177,           0.0055808,             0.73385,             0.48913,             0.52609,             0.36199,             0.03233,            0.042964,            0.011312,            0.004984,            0.004984,            0.004984
                  78,             0.02247,            0.055428,           0.0052275,             0.67845,               0.505,              0.5007,             0.35061,             0.03198,            0.043004,            0.010694,            0.004918,            0.004918,            0.004918
                  79,            0.021999,            0.054609,           0.0055324,             0.67204,              0.5167,             0.51404,             0.35445,            0.032576,            0.043714,           0.0090463,            0.004852,            0.004852,            0.004852
                  80,            0.022537,            0.054123,           0.0055281,             0.70338,             0.48564,             0.51551,             0.37196,            0.033059,            0.044879,             0.01073,            0.004786,            0.004786,            0.004786
                  81,            0.022398,            0.054671,           0.0050631,             0.58895,              0.5168,             0.53812,             0.37447,            0.031954,            0.042648,           0.0096922,             0.00472,             0.00472,             0.00472
                  82,            0.022277,            0.055323,           0.0052343,             0.61133,             0.51208,             0.52109,               0.366,            0.032445,             0.04282,            0.011315,            0.004654,            0.004654,            0.004654
                  83,            0.021834,            0.053801,            0.005212,             0.58048,              0.5483,             0.53753,             0.36687,            0.031728,            0.041827,           0.0096703,            0.004588,            0.004588,            0.004588
                  84,            0.022197,            0.055603,           0.0048777,             0.60155,             0.53731,             0.53441,             0.37952,            0.031491,              0.0419,            0.010082,            0.004522,            0.004522,            0.004522
                  85,            0.022035,            0.053795,           0.0050793,             0.54743,             0.55466,              0.5517,             0.37348,            0.032389,            0.042569,           0.0099392,            0.004456,            0.004456,            0.004456
                  86,            0.021862,             0.05497,           0.0050145,             0.70276,             0.50646,             0.54485,             0.37215,             0.03228,            0.043235,           0.0090547,             0.00439,             0.00439,             0.00439
