               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.022809,            0.056698,           0.0059062,             0.47394,              0.5042,             0.50631,             0.35153,            0.031141,            0.040447,            0.011081,            0.005248,            0.005248,            0.005248
                  74,            0.022705,             0.05526,           0.0058982,             0.46904,             0.48284,              0.5014,             0.35153,            0.032022,            0.042415,            0.011459,            0.005182,            0.005182,            0.005182
                  75,             0.02222,            0.056124,           0.0056037,             0.51651,             0.54081,             0.52302,             0.35936,            0.031262,            0.041637,            0.010892,            0.005116,            0.005116,            0.005116
                  76,            0.022513,            0.056289,           0.0057784,             0.49827,             0.49706,             0.51296,             0.35055,            0.031682,            0.042132,            0.010473,             0.00505,             0.00505,             0.00505
                  77,            0.022851,            0.056246,           0.0058592,             0.58193,             0.48665,             0.53218,             0.36269,            0.032015,            0.041875,            0.010256,            0.004984,            0.004984,            0.004984
                  78,            0.022304,            0.055197,           0.0056036,             0.46918,              0.5239,             0.48709,             0.34441,            0.032378,             0.04256,           0.0099943,            0.004918,            0.004918,            0.004918
                  79,             0.02182,            0.054363,           0.0059572,             0.70753,             0.51917,             0.51354,             0.35288,            0.032097,            0.044379,            0.010414,            0.004852,            0.004852,            0.004852
                  80,            0.022275,            0.053998,           0.0059657,             0.56687,             0.47614,             0.51274,             0.36575,            0.031578,            0.042263,            0.011508,            0.004786,            0.004786,            0.004786
                  81,            0.022255,            0.054454,           0.0052754,              0.6914,             0.49328,             0.52662,             0.36341,            0.031931,            0.043263,            0.011331,             0.00472,             0.00472,             0.00472
                  82,            0.022141,            0.054934,            0.005549,             0.47485,              0.5752,             0.50861,             0.35299,            0.032045,            0.042831,             0.01076,            0.004654,            0.004654,            0.004654
                  83,            0.021682,            0.053423,           0.0055302,             0.55945,             0.50076,              0.5288,             0.37154,             0.03181,            0.042016,            0.010745,            0.004588,            0.004588,            0.004588
                  84,            0.022122,            0.055248,           0.0052228,             0.50007,             0.54673,              0.5047,             0.35567,            0.031604,            0.041627,           0.0096042,            0.004522,            0.004522,            0.004522
                  85,             0.02178,            0.053828,           0.0053697,             0.59563,             0.58097,             0.56694,             0.38172,            0.032059,            0.043754,           0.0097892,            0.004456,            0.004456,            0.004456
                  86,            0.021701,            0.054556,           0.0053431,             0.47394,             0.57421,             0.49049,             0.33944,            0.031273,            0.042233,           0.0099057,             0.00439,             0.00439,             0.00439
                  87,            0.021331,            0.053511,           0.0052244,              0.6043,             0.47281,             0.51953,             0.35869,              0.0319,            0.042378,            0.010171,            0.004324,            0.004324,            0.004324
                  88,            0.021369,            0.053424,           0.0056187,             0.56212,              0.4862,             0.52499,             0.37133,            0.031788,            0.042507,            0.010327,            0.004258,            0.004258,            0.004258
                  89,            0.021394,            0.054094,           0.0052393,             0.54645,             0.56154,             0.52295,              0.3583,            0.032151,            0.042016,           0.0091121,            0.004192,            0.004192,            0.004192
                  90,            0.021336,            0.052786,           0.0051282,             0.62947,             0.57999,             0.56442,             0.40342,            0.032129,            0.043561,            0.010846,            0.004126,            0.004126,            0.004126
                  91,            0.021227,            0.053901,           0.0053505,             0.60757,             0.62582,             0.59982,             0.42071,            0.032771,            0.043658,            0.010844,             0.00406,             0.00406,             0.00406
                  92,            0.021076,            0.053345,           0.0051487,             0.54451,             0.59023,             0.57492,             0.40248,            0.031989,             0.04317,            0.010548,            0.003994,            0.003994,            0.003994
                  93,            0.021014,            0.052465,           0.0052915,             0.79517,             0.56043,             0.56815,             0.39927,            0.031876,             0.04238,           0.0081939,            0.003928,            0.003928,            0.003928
                  94,            0.020797,            0.051163,           0.0053067,              0.5726,             0.65117,             0.58049,              0.3978,            0.032639,            0.042968,            0.009178,            0.003862,            0.003862,            0.003862
                  95,            0.020405,            0.050871,           0.0048963,             0.49715,             0.64299,             0.55636,             0.38689,            0.031546,            0.042931,            0.010348,            0.003796,            0.003796,            0.003796
                  96,            0.020765,            0.051121,           0.0049995,             0.57033,             0.57194,              0.5518,             0.37283,            0.031149,            0.042669,           0.0094422,             0.00373,             0.00373,             0.00373
